Alarm Triggered: Id=1950168544,Tag=joe,Tag value= 553.864030332241 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:14 AM
Alarm Triggered: Id=2000532369,Tag=joe,Tag value= 520.519622983653 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:19 AM
Alarm Triggered: Id=-1978048908,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:07:24 AM
Alarm Triggered: Id=-1977953113,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:07:24 AM
Alarm Triggered: Id=-1979499694,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:24 AM
Alarm Triggered: Id=-1929185943,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:29 AM
Alarm Triggered: Id=-2141016599,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:07:34 AM
Alarm Triggered: Id=-2141052883,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:07:34 AM
Alarm Triggered: Id=-2096886794,Tag=joe,Tag value= 574.765817576445 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:39 AM
Alarm Triggered: Id=-2039805769,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:07:44 AM
Alarm Triggered: Id=-1727507176,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:49 AM
Alarm Triggered: Id=-1670579692,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:07:54 AM
Alarm Triggered: Id=-1676859120,Tag=joe,Tag value= 515.098161071119 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:54 AM
Alarm Triggered: Id=-1626109719,Tag=joe,Tag value= 629.012012169236 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:59 AM
Alarm Triggered: Id=-1837429397,Tag=aaa,Tag value= 20.7911690817759 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:08:04 AM
Alarm Triggered: Id=-1844383562,Tag=joe,Tag value= 742.925863267354 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:08:04 AM
Alarm Triggered: Id=-1471939757,Tag=aaa,Tag value= 66.9130606358858 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:08:14 AM
Alarm Triggered: Id=-1371269549,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:08:24 AM
Alarm Triggered: Id=-1371247484,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:08:24 AM
Alarm Triggered: Id=-1374136731,Tag=joe,Tag value= 797.172057860145 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:08:24 AM
Alarm Triggered: Id=-1538045954,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:08:34 AM
Alarm Triggered: Id=-1538467282,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:08:34 AM
Alarm Triggered: Id=-1486694827,Tag=joe,Tag value= 737.50440135482 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:08:39 AM
Alarm Triggered: Id=-1168845622,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:08:44 AM
